종목명,년도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
소방설비(전기분야),2017,전체,29607,21735,6785,31.2,14554,12091,5879,48.6,5879
소방설비(전기분야),2017,여자,2081,1567,479,30.6,1052,871,378,43.4,378
소방설비(전기분야),2018,전체,32721,24127,7580,31.4,13636,11503,6262,54.4,6262
소방설비(전기분야),2018,여자,2441,1836,560,30.5,1016,866,456,52.7,456
소방설비(전기분야),2019,전체,36146,26112,13706,52.5,20532,17499,8086,46.2,8086
소방설비(전기분야),2019,여자,2545,1861,925,49.7,1499,1288,527,40.9,527
소방설비(전기분야),2020,전체,29058,21749,11711,53.8,24489,19248,8991,46.7,8991
소방설비(전기분야),2020,여자,2423,1801,903,50.1,1920,1511,650,43,650
소방설비(화공),전체,전체,1115,719,136,18.9,0,0,0,0,0
소방설비(화공),2015(누적),전체,1115,719,136,18.9,0,0,0,0,0
소방설비(토목),전체,전체,9999,6967,2352,33.8,0,0,0,0,0
소방설비(토목),2015(누적),전체,9999,6967,2352,33.8,0,0,0,0,0
소방설비(건축),전체,전체,9871,6686,2089,31.2,0,0,0,0,0
소방설비(건축),2015(누적),전체,9871,6686,2089,31.2,0,0,0,0,0
비파괴검사분야,전체,전체,114786,79456,29384,37,51863,43764,17275,39.5,17430
비파괴검사분야,2015(누적),전체,85751,59085,20974,35.5,37231,31223,11994,38.4,12149
비파괴검사분야,2016,전체,7184,5016,2405,47.9,3807,3340,1210,36.2,1210
비파괴검사분야,2016,여자,177,136,81,59.6,93,85,31,36.5,31
비파괴검사분야,2017,전체,6556,4654,1592,34.2,3312,2843,1292,45.4,1292
비파괴검사분야,2017,여자,159,130,47,36.2,83,73,38,52.1,38
비파괴검사분야,2018,전체,6117,4362,1664,38.1,2890,2448,960,39.2,960
비파괴검사분야,2018,여자,136,106,57,53.8,80,71,33,46.5,33
비파괴검사분야,2019,전체,5517,3765,1497,39.8,2533,2123,1040,49,1040
비파괴검사분야,2019,여자,126,103,50,48.5,88,78,34,43.6,34
비파괴검사분야,2020,전체,3661,2574,1252,48.6,2090,1787,779,43.6,779
