종목명,시작 연도,완료 연도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
목재.가구.공예분야,1975,2014,전체,520,497,208,41.9,346,326,79,24.2,79
목재.가구.공예분야,2015,2015,전체,20,19,13,68.4,19,18,5,27.8,5
목재.가구.공예분야,2015,2015,여,2,2,2,100,1,1,0,0,0
목재.가구.공예분야,2016,2016,전체,11,10,7,70,18,17,7,41.2,7
목재.가구.공예분야,2016,2016,여,4,4,4,100,3,3,1,33.3,1
목재.가구.공예분야,2017,2017,전체,14,14,7,50,12,12,8,66.7,8
목재.가구.공예분야,2017,2017,여,1,1,0,0,2,2,1,50,1
목재.가구.공예분야,2018,2018,전체,16,14,5,35.7,6,5,2,40,2
목재.가구.공예분야,2018,2018,여,2,2,2,100,0,0,0,0,0
목재.가구.공예분야,2019,2019,전체,15,14,8,57.1,10,10,6,60,6
목재.가구.공예분야,2019,2019,여,1,1,1,100,2,2,1,50,1
귀금속가공,1975,2019,전체,596,568,248,43.7,411,388,107,27.6,107
귀금속가공,1975,2014,전체,520,497,208,41.9,346,326,79,24.2,79
귀금속가공,2015,2015,전체,20,19,13,68.4,19,18,5,27.8,5
귀금속가공,2015,2015,여,2,2,2,100,1,1,0,0,0
귀금속가공,2016,2016,전체,11,10,7,70,18,17,7,41.2,7
귀금속가공,2016,2016,여,4,4,4,100,3,3,1,33.3,1
귀금속가공,2017,2017,전체,14,14,7,50,12,12,8,66.7,8
귀금속가공,2017,2017,여,1,1,0,0,2,2,1,50,1
귀금속가공,2018,2018,전체,16,14,5,35.7,6,5,2,40,2
귀금속가공,2018,2018,여,2,2,2,100,0,0,0,0,0
귀금속가공,2019,2019,전체,15,14,8,57.1,10,10,6,60,6
귀금속가공,2019,2019,여,1,1,1,100,2,2,1,50,1
안전관리분야,1975,2019,전체,21764,18495,8516,46,18766,16125,3547,22,3540
