제작연도,카테고리,프로그램명,총편수,회차제목,내용,시간(러닝타임),장르구분,등록일
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_123,이찬영 (한국기록연구소 대표 / ‘기록형 인간’ 저자) 나만의 빅데이터 플랫폼을 찾아라!,60min,토크-쇼,2016-09-29
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_124,"이찬영 (한국기록연구소 대표 / ‘기록형 인간’ 저자) 인공지능 시대, 무엇을 어떻게 기록할 것인가",60min,토크-쇼,2016-09-30
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_127,김도균 (경희대학교 체육대학 부학장) 재테크보다 ‘체’테크에 주목하라,60min,토크-쇼,2016-09-30
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_131,박소영 (인문학 강사 / 리얼인문학 대표) / 당신은 왜 인문학을 공부하는가,60min,토크-쇼,2016-09-30
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_125,조전범 (어학디자이너 / 시원스쿨 광동어 강사/ 외국어 전문 배우) 외국어 공부 지름길은 있다,60min,토크-쇼,2016-10-04
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_126,조전범 (시원스쿨 광동어 강사 / 어학디자이너) 다가오는 중국어 시대에 대비하라,60min,토크-쇼,2016-10-05
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_128,김도균 (경희대학교 체육대학 부학장)/스포츠로 승리의 리더십을 키워라,60min,토크-쇼,2016-10-07
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_129,백재환 (보안전문가 / 정보통신고급기술자) / 문화 예술에서 찾아보는 사이버 시큐리티,60min,토크-쇼,2016-10-10
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_130,백재환 (보안전문가 / 정보통신고급기술자) /  정보 보안은 문화예술이다,60min,토크-쇼,2016-10-11
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_132,박소영 (인문학 강사 / 리얼인문학 대표) / 인문학에서 배우는 실패와 좌절,60min,토크-쇼,2016-10-13
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_133,"조영근 (재무컨설턴트), 20대, 첫 재테크를 준비하라!",60min,토크-쇼,2016-10-14
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_134,"조영근 (재무컨설턴트) 저금리 시대, 재테크로 연봉 2배 만들기",60min,토크-쇼,2016-10-17
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_135,맹명관 (마케팅 스페셜리스트 / IT융합 공학 박사) 창조적 소수자가 되라!,60min,토크-쇼,2016-10-18
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_136,"맹명관 (마케팅 스페셜리스트 / IT융합 공학 박사) 게임체인저, 혁신의 반전을 꿈꿔라",60min,토크-쇼,2016-10-19
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_137,정지호 (前 건국대학교 벤처창업지원센터 총괄실장)/ 인생을 바꾸는 창업에 도전하라,60min,토크-쇼,2016-10-20
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_138,"정지호 (前 건국대학교 벤처창업지원센터 총괄실장)/ 꿈꾸는 직업, 컨설턴트 도전기",60min,토크-쇼,2016-10-21
